order_id,customer_id,seller_id,order_date,order_value,quantity,product_category,discount_pct,payment_method,customer_state,delivery_zone,customer_order_count,customer_previous_rto_count,customer_previous_cancel_count,previous_successful_orders,customer_previous_rto_rate,days_since_last_order,seller_previous_orders,seller_previous_rto_count,seller_previous_rto_rate,orders_last_24h,orders_last_7d,device_order_count_7d,multiple_accounts_device,address_order_count,distance_seller_customer_km,estimated_delivery_days,is_weekend,is_holiday,seller_rating,customer_account_age_days,cod_amount,address_change_count_30d,failed_delivery_attempts_previous,night_order,rto
ORD000001,17270,1161,2024-01-01 00:00:00,644.31,2,Beauty,22.2,Wallet,Maharashtra,Urban,10,3,1,6,0.3,4.6,767,115,0.1499,0,5,3,0,3,417.4,4,0,0,3.57,1895,0.0,0,0,1,0
ORD000002,17603,1745,2024-01-01 01:00:00,1827.83,1,Beauty,17.2,UPI,West Bengal,Rural,10,3,1,6,0.3,17.6,745,113,0.1517,2,7,4,0,3,36.8,5,0,0,4.19,1634,0.0,0,1,1,0
ORD000003,10860,1379,2024-01-01 02:00:00,1015.89,1,Footwear,28.2,COD,Delhi,Urban,4,1,0,3,0.25,75.6,720,15,0.0208,0,10,3,1,3,70.0,3,0,0,4.21,1256,1015.89,0,0,1,1
ORD000004,15390,1655,2024-01-01 03:00:00,950.85,1,Footwear,12.0,Credit Card,West Bengal,Rural,10,0,1,9,0.0,18.1,761,127,0.1669,1,4,2,0,3,54.7,3,0,0,4.1,906,0.0,2,0,1,0
ORD000005,15226,1357,2024-01-01 04:00:00,1261.08,4,Home,15.2,Wallet,West Bengal,Urban,5,1,2,2,0.2,22.9,792,198,0.25,1,3,4,0,1,93.9,4,0,0,3.95,1969,0.0,0,0,1,0
ORD000006,15191,1187,2024-01-01 05:00:00,1689.97,1,Fashion,19.9,COD,Bihar,Semi-Urban,6,0,3,3,0.0,14.0,753,12,0.0159,4,8,1,0,5,111.9,6,0,0,3.88,1164,1689.97,0,1,1,1
ORD000007,13772,1321,2024-01-01 06:00:00,616.84,3,Home,7.3,COD,Maharashtra,Urban,6,2,0,4,0.3333,41.5,719,109,0.1516,4,11,1,1,3,144.5,5,0,0,4.22,643,616.84,0,0,0,1
ORD000008,13092,1449,2024-01-01 07:00:00,1851.5,1,Electronics,21.2,UPI,Maharashtra,Urban,7,0,2,5,0.0,5.3,749,71,0.0948,1,6,3,0,1,346.2,6,0,0,3.38,369,0.0,0,1,0,0
ORD000009,15734,1473,2024-01-01 08:00:00,2617.34,4,Beauty,23.4,COD,Bihar,Semi-Urban,9,0,0,9,0.0,18.1,726,17,0.0234,2,10,4,0,1,215.7,2,0,0,4.22,1707,2617.34,1,0,0,0
ORD000010,16265,1012,2024-01-01 09:00:00,466.07,2,Home,25.1,Wallet,Karnataka,Urban,11,0,5,6,0.0,10.8,719,113,0.1572,3,5,3,0,2,97.7,2,0,0,3.96,1230,0.0,0,0,0,1
ORD000011,10466,1183,2024-01-01 10:00:00,1295.92,1,Beauty,3.8,Credit Card,Bihar,Semi-Urban,9,0,0,9,0.0,47.9,765,53,0.0693,2,5,3,1,2,161.9,2,0,0,4.77,417,0.0,1,1,0,0
ORD000012,15334,1110,2024-01-01 11:00:00,913.28,2,Beauty,6.0,COD,Bihar,Rural,10,0,1,9,0.0,15.2,723,48,0.0664,3,8,4,0,5,10.2,4,0,0,3.62,108,913.28,0,0,0,1
ORD000013,14426,1507,2024-01-01 12:00:00,1668.26,1,Home,19.7,Debit Card,Bihar,Urban,11,1,0,10,0.0909,6.5,721,123,0.1706,2,6,4,0,2,167.1,2,0,0,3.9,1219,0.0,0,0,0,0
ORD000014,15578,1289,2024-01-01 13:00:00,528.48,1,Home,8.5,Debit Card,West Bengal,Urban,8,1,0,7,0.125,55.9,797,275,0.345,3,6,5,0,2,216.8,1,0,0,4.39,1190,0.0,2,0,0,0
ORD000015,16231,1294,2024-01-01 14:00:00,2914.24,1,Footwear,16.6,COD,Maharashtra,Semi-Urban,8,1,1,6,0.125,19.6,748,64,0.0856,1,9,5,0,4,162.8,5,0,0,3.82,1709,2914.24,0,0,0,1
